TransactionID,AccountID,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerOccupation,PreviousTransactionDate,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Target
TX000001,AC00128,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,Doctor,2024-11-04 08:08:08,14.09,70.0,81.0,1.0,5112.21,2
TX000002,AC00455,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,Doctor,2024-11-04 08:09:35,376.24,68.0,141.0,1.0,13758.91,3
TX000003,AC00019,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,Student,2024-11-04 08:07:04,126.29,19.0,56.0,1.0,1122.35,1
TX000004,AC00070,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,Student,2024-11-04 08:09:06,184.5,26.0,25.000000000000004,1.0,8569.06,0
TX000005,AC00411,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,Student,2024-11-04 08:06:39,92.15,18.0,172.0,1.0,781.68,1
TX000006,AC00393,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,Student,2024-11-04 08:06:36,7.08,37.0,139.0,1.0,13316.71,3
TX000007,AC00199,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,Doctor,2024-11-04 08:10:09,171.42,67.0,291.0,1.0,2796.24,1
TX000008,AC00069,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,Retired,2024-11-04 08:10:55,106.23,51.0,86.0,1.0,9095.14,0
TX000009,AC00135,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,Engineer,2024-11-04 08:11:14,815.96,55.0,120.0,1.0,1021.8800000000001,1
TX000010,AC00385,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,Doctor,2024-11-04 08:06:32,17.78,52.0,59.00000000000001,1.0,7599.5199999999995,0
TX000011,AC00150,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,Engineer,2024-11-04 08:06:45,190.02,21.0,173.0,1.0,1528.81,1
TX000012,AC00459,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,Student,2024-11-04 08:07:12,494.52,24.0,111.0,1.0,1620.02,1
TX000013,AC00392,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,Branch,Student,2024-11-04 08:08:38,781.76,26.0,123.0,1.0,189.69,1
TX000014,AC00264,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,Student,2024-11-04 08:07:06,166.99,18.0,134.0,1.0,299.93,1
